,test_type,sql_query,sql_result,llm_user_query,llm_sql_query,llm_result,correct_result
0,last_update,SELECT last_update FROM dw_financial_institution_profiles AS p WHERE p.institution_name = 'The Southington Bank and Trust Company',1990-10-04 00:00:00,What was the last update for The Southington Bank and Trust Company?,"SELECT ""last_update"" FROM dw_financial_institution_profiles WHERE ""institution_name"" = 'The Southington Bank and Trust Company' LIMIT 1",1990-10-04 00:00:00,1
1,join_max,SELECT max(total_assets) FROM dw_financial_institution_money AS m LEFT JOIN dw_financial_institution_profiles AS p ON p.inst_id = m.inst_id WHERE p.institution_name = 'The Southington Bank and Trust Company' ,,What is the maximum total assets The Southington Bank and Trust Company ever had?,"SELECT MAX(total_assets) FROM dw_financial_institution_money INNER JOIN dw_financial_institution_profiles ON dw_financial_institution_money.inst_id = dw_financial_institution_profiles.inst_id WHERE institution_name = ""The Southington Bank and Trust Company""",,1
2,last_update,SELECT last_update FROM dw_financial_institution_profiles AS p WHERE p.institution_name = 'Colonial Bank of Waterbury',1995-09-07 00:00:00,What was the last update for Colonial Bank of Waterbury?,"SELECT ""last_update"" FROM dw_financial_institution_profiles WHERE ""institution_name"" = 'Colonial Bank of Waterbury' LIMIT 1",1995-09-07 00:00:00,1
3,join_max,SELECT max(total_assets) FROM dw_financial_institution_money AS m LEFT JOIN dw_financial_institution_profiles AS p ON p.inst_id = m.inst_id WHERE p.institution_name = 'Colonial Bank of Waterbury' ,,What is the maximum total assets Colonial Bank of Waterbury ever had?,"SELECT MAX(total_assets) FROM dw_financial_institution_money WHERE inst_id = ""b_2""",,1
4,last_update,SELECT last_update FROM dw_financial_institution_profiles AS p WHERE p.institution_name = 'Fleet Bank of Maine',2000-11-17 00:00:00,What was the last update for Fleet Bank of Maine?,"SELECT last_update FROM dw_financial_institution_profiles WHERE institution_name = ""Fleet Bank of Maine""",2000-11-17 00:00:00,1
5,join_max,SELECT max(total_assets) FROM dw_financial_institution_money AS m LEFT JOIN dw_financial_institution_profiles AS p ON p.inst_id = m.inst_id WHERE p.institution_name = 'Fleet Bank of Maine' ,1699404,What is the maximum total assets Fleet Bank of Maine ever had?,"SELECT MAX(total_assets) FROM dw_financial_institution_money WHERE inst_id = ""b_3""",1699404,1
6,last_update,SELECT last_update FROM dw_financial_institution_profiles AS p WHERE p.institution_name = 'Union Trust Company',2008-02-27 00:00:00,What was the last update for Union Trust Company?,"SELECT last_update FROM dw_financial_institution_profiles WHERE institution_name = ""Union Trust Company""",2008-02-27 00:00:00,1
7,join_max,SELECT max(total_assets) FROM dw_financial_institution_money AS m LEFT JOIN dw_financial_institution_profiles AS p ON p.inst_id = m.inst_id WHERE p.institution_name = 'Union Trust Company' ,539169,What is the maximum total assets Union Trust Company ever had?,"SELECT MAX(total_assets) FROM dw_financial_institution_money WHERE inst_id = ""b_1""",,0
8,last_update,SELECT last_update FROM dw_financial_institution_profiles AS p WHERE p.institution_name = 'Northeast Bank of Sanford',1990-10-04 00:00:00,What was the last update for Northeast Bank of Sanford?,"SELECT dw_financial_institution_profiles.last_update FROM dw_financial_institution_profiles WHERE dw_financial_institution_profiles.institution_name = ""Northeast Bank of Sanford""",1990-10-04 00:00:00,1
9,join_max,SELECT max(total_assets) FROM dw_financial_institution_money AS m LEFT JOIN dw_financial_institution_profiles AS p ON p.inst_id = m.inst_id WHERE p.institution_name = 'Northeast Bank of Sanford' ,,What is the maximum total assets Northeast Bank of Sanford ever had?,"SELECT MAX(total_assets) FROM dw_financial_institution_money WHERE inst_id = ""b_6370""",973981,0
10,last_update,SELECT last_update FROM dw_financial_institution_profiles AS p WHERE p.institution_name = 'State Street Bank and Trust Company',2023-06-04 00:00:00,What was the last update for State Street Bank and Trust Company?,"SELECT dw_financial_institution_profiles.last_update FROM dw_financial_institution_profiles WHERE dw_financial_institution_profiles.institution_name = ""State Street Bank and Trust Company""",2023-06-04 00:00:00,1
11,join_max,SELECT max(total_assets) FROM dw_financial_institution_money AS m LEFT JOIN dw_financial_institution_profiles AS p ON p.inst_id = m.inst_id WHERE p.institution_name = 'State Street Bank and Trust Company' ,280469000,What is the maximum total assets State Street Bank and Trust Company ever had?,"SELECT MAX(total_assets) FROM dw_financial_institution_money INNER JOIN dw_financial_institution_profiles ON dw_financial_institution_money.inst_id = dw_financial_institution_profiles.inst_id WHERE institution_name = ""State Street Bank and Trust Company""",280469000,1
