,test_type,sql_query,sql_result,llm_user_query,llm_sql_query,llm_result,correct_result
0,last_update,"SELECT last_update FROM dw_financial_institution_profiles AS p WHERE p.institution_name = ""The Southington Bank and Trust Company""",1990-10-04 00:00:00,What was the last update for The Southington Bank and Trust Company?,"SELECT ""last_update"" FROM dw_financial_institution_profiles WHERE ""institution_name"" = 'The Southington Bank and Trust Company' LIMIT 1;",1990-10-04 00:00:00,1
1,join_max,"SELECT max(total_assets) FROM dw_financial_institution_money AS m LEFT JOIN dw_financial_institution_profiles AS p ON p.inst_id = m.inst_id WHERE p.institution_name = ""The Southington Bank and Trust Company"" ",,What is the maximum total assets The Southington Bank and Trust Company ever had?,"SELECT MAX(total_assets) FROM dw_financial_institution_money INNER JOIN dw_financial_institution_profiles ON dw_financial_institution_money.inst_id = dw_financial_institution_profiles.inst_id WHERE institution_name = ""The Southington Bank and Trust Company""",,1
2,last_update,"SELECT last_update FROM dw_financial_institution_profiles AS p WHERE p.institution_name = ""Bank of New England - North Shore""",1995-10-06 00:00:00,What was the last update for Bank of New England - North Shore?,"SELECT dw_financial_institution_profiles.last_update FROM dw_financial_institution_profiles WHERE dw_financial_institution_profiles.institution_name = ""Bank of New England - North Shore""",1995-10-06 00:00:00,1
3,join_max,"SELECT max(total_assets) FROM dw_financial_institution_money AS m LEFT JOIN dw_financial_institution_profiles AS p ON p.inst_id = m.inst_id WHERE p.institution_name = ""Bank of New England - North Shore"" ",153274,What is the maximum total assets Bank of New England - North Shore ever had?,"SELECT MAX(total_assets) FROM dw_financial_institution_money WHERE inst_id = ""b_1""",,0
4,last_update,"SELECT last_update FROM dw_financial_institution_profiles AS p WHERE p.institution_name = ""SunTrust Bank, Tampa Bay""",2000-03-29 00:00:00,"What was the last update for SunTrust Bank, Tampa Bay?","SELECT dw_financial_institution_profiles.last_update FROM dw_financial_institution_profiles WHERE dw_financial_institution_profiles.institution_name = ""SunTrust Bank"" AND dw_financial_institution_profiles.city = ""Tampa Bay"" LIMIT 1",,0
5,join_max,"SELECT max(total_assets) FROM dw_financial_institution_money AS m LEFT JOIN dw_financial_institution_profiles AS p ON p.inst_id = m.inst_id WHERE p.institution_name = ""SunTrust Bank, Tampa Bay"" ",2925239,"What is the maximum total assets SunTrust Bank, Tampa Bay ever had?",SQL Query failed,,0
6,last_update,"SELECT last_update FROM dw_financial_institution_profiles AS p WHERE p.institution_name = ""Marine Tobacco Exchange Bank""",1995-10-12 00:00:00,What was the last update for Marine Tobacco Exchange Bank?,"SELECT dw_financial_institution_profiles.last_update FROM dw_financial_institution_profiles WHERE dw_financial_institution_profiles.institution_name = ""Marine Tobacco Exchange Bank""",1995-10-12 00:00:00,1
7,join_max,"SELECT max(total_assets) FROM dw_financial_institution_money AS m LEFT JOIN dw_financial_institution_profiles AS p ON p.inst_id = m.inst_id WHERE p.institution_name = ""Marine Tobacco Exchange Bank"" ",,What is the maximum total assets Marine Tobacco Exchange Bank ever had?,"SELECT MAX(total_assets) FROM dw_financial_institution_money WHERE inst_id = ""b_6370""",973981,0
8,last_update,"SELECT last_update FROM dw_financial_institution_profiles AS p WHERE p.institution_name = ""The Security State Bank""",1999-05-05 00:00:00,What was the last update for The Security State Bank?,"SELECT ""last_update"" FROM dw_financial_institution_profiles WHERE ""institution_name"" = 'The Security State Bank' LIMIT 1",1999-05-05 00:00:00,1
9,join_max,"SELECT max(total_assets) FROM dw_financial_institution_money AS m LEFT JOIN dw_financial_institution_profiles AS p ON p.inst_id = m.inst_id WHERE p.institution_name = ""The Security State Bank"" ",59531,What is the maximum total assets The Security State Bank ever had?,"SELECT MAX(total_assets) FROM dw_financial_institution_money WHERE inst_id = ""b_1""",,0
10,last_update,"SELECT last_update FROM dw_financial_institution_profiles AS p WHERE p.institution_name = ""Meritor Savings Bank""",1992-12-15 00:00:00,What was the last update for Meritor Savings Bank?,"SELECT dw_financial_institution_profiles.last_update FROM dw_financial_institution_profiles WHERE dw_financial_institution_profiles.institution_name = ""Meritor Savings Bank""",1992-12-15 00:00:00,1
11,join_max,"SELECT max(total_assets) FROM dw_financial_institution_money AS m LEFT JOIN dw_financial_institution_profiles AS p ON p.inst_id = m.inst_id WHERE p.institution_name = ""Meritor Savings Bank"" ",4126701,What is the maximum total assets Meritor Savings Bank ever had?,"SELECT MAX(total_assets) FROM dw_financial_institution_money WHERE inst_id = ""b_1""",,0
